time_hhmm,ampm_certain,driver_earn_sgd,passenger_paid_sgd,platform_commission_sgd,surge_boost_flag,pickup_name,pickup_address,pickup_postal,dropoff_name,dropoff_address,dropoff_postal,service_type,stops_total,screenshot_stage,platform,notes
09:43,no,6.20,8.10,1.90,No,634 Veerasamy Rd,634 Veerasamy Road,200634,Private Space Medical - Farrer Park Medical Centre,1 Farrer Park Station Road #11-09,217562,Standard | Car or taxi,2,order accepted,Grab,
09:00,no,6.20,9.50,3.30,Yes,Keppel Distripark Pickup/Dropoff,511 Kampong Bahru Road,099447,HarbourFront Tower Two,3 Harbourfront Place,099254,Standard | Car or taxi,2,order accepted,Grab,
07:12,no,16.70,23.20,6.50,Yes,Back Entrance (Carpark) Woodlands Stadium,1 Woodlands Street 13,738597,103C Edgefield Plns,103C Edgefield Plain,823103,Standard | Car or taxi,2,en route to dropoff,Grab,screenshot taken after pickup (1/2 stops)
09:22,no,9.60,13.50,3.90,Yes,103 Bukit Purmei Rd,103 Bukit Purmei Road,090110,Suntec City Tower 3 & 4,8 Temasek Boulevard,038988,Standard | Car or taxi,2,order accepted,Grab,
08:47,no,8.30,12.10,3.80,Yes,Blk 28 Twin Regency,28 Kim Tian Road,169278,Singapore National Eye Centre (SNEC),11 Third Hospital Avenue,168751,Standard | Car or taxi,2,order accepted,Grab,
08:14,no,22.40,30.40,8.00,Yes,458 Ang Mo Kio Ave 10,458 Ang Mo Kio Avenue 10,560458,Central Plaza,298 Tiong Bahru Road,168730,Standard | 4 seater (Car),2,order accepted,Grab,queued as a next booking
07:52,no,13.70,18.00,4.30,Yes,Near 705 Bedok North Rd,705 Bedok North Road,470705,ITE College Central & Headquarters,2 Ang Mo Kio Drive,567720,Standard | Car or taxi,2,order accepted,Grab,
09:34,no,17.80,24.30,6.50,Yes,772 Bedok Reservoir View,772 Bedok Reservoir View,470772,Mustafa Centre Door 4,145 Syed Alwi Road,207704,Standard | Car or taxi,2,order accepted,Grab,
08:27,no,26.00,35.20,9.20,Yes,112 Bishan St 12,112 Bishan Street 12,570112,Main Entrance One @ Changi City,1 Changi Business Park Central 1,486036,Standard | Car or taxi,2,order accepted,Grab,captured twice via scrolling in source screenshots (deduped here)
08:27,no,,18.20,,unknown,112 Bishan St 12 (probable - not fully visible),112 Bishan Street 12,570112,Islamic Religious Council of Singapore (Muis),273 Braddell Road,579702,Standard | Car or taxi,2,order accepted,Grab,second leg of a stacked multi-booking screen; earn amount was cropped out of the screenshot
06:58,no,14.60,15.90,1.30,No,278 Tampines St 22,278 Tampines Street 22,520278,23 Lor 29 Geylang,23 Lorong 29 Geylang,388072,Standard | Car or taxi,2,en route to dropoff,Grab,screenshot taken after pickup (1/2 stops)
08:18,no,24.80,32.70,7.90,Yes,762 Bedok Reservoir Rd Waterfront Waves,762 Bedok Reservoir Road,479246,Lobby Mandarin Gallery,333A Orchard Road,238897,Standard | Car or taxi,2,order accepted,Grab,
07:37,no,39.90,55.21,15.31,Yes,814 Tampines St 81,814 Tampines Street 81,520814,One-Stop Centre Republic Polytechnic,3 Woodlands Avenue 9,738961,Standard | Car or taxi,2,order accepted,Grab,
10:16,no,31.00,39.50,8.50,Yes,Main Entrance Singapore Flyer,30 Raffles Avenue,039803,313A Sumang Link Punggol Parcvista,313A Sumang Link,821313,Standard | Car or taxi,2,order accepted,Grab,
09:40,no,23.10,25.90,2.80,unclear,Main Entrance White Sands,1 Pasir Ris Central Street 3,518457,403 Tampines St 41 (leg 1 of 2 dropoffs),403 Tampines Street 41,520403,Standard | Car or taxi,3,order accepted,TADA,3-stop job with a TADA badge on screen; fare shown may only cover part of the multi-stop trip
09:02,no,34.90,47.00,12.10,Yes,Lobby Republic Plaza,9 Raffles Place,048619,588A Pasir Ris Drive 3 Costa Grove,588A Pasir Ris Drive 3,511588,Standard | Car or taxi,2,order accepted,Grab,
